web-scraper-order,web-scraper-start-url,name,rank,unit,death_date,profile_link,profile_link-href,image_url-src
"1753822412-11","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","רס""ם
                        אהרון פרש
                        ז""ל","רס""ם","חיל הטכנולוגיה והאחזקה","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","רס""ם
                        אהרון פרש
                        ז""ל
                    
                        
                            חיל הטכנולוגיה והאחזקה
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%94%D7%A8%D7%95%D7%9F-%D7%A4%D7%A8%D7%A9/","/media/r2vjsotz/אהרון-פרש.jpeg?rxy=0.4756756756756757,0.40079365079365081&width=157&height=211"
"1753822412-12","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","סמ""ר
                        גיא שמחי
                        ז""ל","סמ""ר","חטיבת הצנחנים","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמ""ר
                        גיא שמחי
                        ז""ל
                    
                        
                            חטיבת הצנחנים
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%92%D7%99%D7%90-%D7%A9%D7%9E%D7%97%D7%99/","/media/urjpz3es/גיא-שמחי.jpeg?rxy=0.30263834742920243,0.25555555582046507&width=157&height=211"
"1753822412-13","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","סמל
                        אריאל אליהו
                        ז""ל","סמל","עוצבת סער מגולן (7)","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמל
                        אריאל אליהו
                        ז""ל
                    
                        
                            עוצבת סער מגולן (7)
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%A8%D7%99%D7%90%D7%9C-%D7%90%D7%9C%D7%99%D7%94%D7%95/","/media/eo2mre3r/אריאל-אליהו.jpeg?rxy=0.44043709176485657,0.32724466495130822&width=157&height=211"
"1753822412-14","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","סגן
                        אדיר גאורי
                        ז""ל","סגן","סיירת מטכ""ל","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סגן
                        אדיר גאורי
                        ז""ל
                    
                        
                            סיירת מטכ""ל
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%93%D7%99%D7%A8-%D7%92%D7%90%D7%95%D7%A8%D7%99/","/media/pqnjmvzm/אדיר-גאורי.jpeg?rxy=0.40602392442692165,0.30831716719000679&width=157&height=211"
"1753822412-15","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","סמ""ר
                        רועי וייזר
                        ז""ל","סמ""ר","חטיבת גולני","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמ""ר
                        רועי וייזר
                        ז""ל
                    
                        
                            חטיבת גולני
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%A8%D7%95%D7%A2%D7%99-%D7%95%D7%99%D7%99%D7%96%D7%A8/","/media/4xxfx55r/רועי-וייזר.jpeg?rxy=0.61148055178121663,0.37646637679179595&width=157&height=211"
"1753822412-16","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","סמל
                        ירון זהר
                        ז""ל","סמל","חטיבת גולני","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמל
                        ירון זהר
                        ז""ל
                    
                        
                            חטיבת גולני
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%99%D7%A8%D7%95%D7%9F-%D7%96%D7%94%D7%A8/","/media/uw2ieibp/ירון-זהר.jpeg?rxy=0.57697456492637211,0.28875&width=157&height=211"
"1753822412-17","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","סרן
                        רום שלומי
                        ז""ל","סרן","יחידת שלדג","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סרן
                        רום שלומי
                        ז""ל
                    
                        
                            יחידת שלדג
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%A8%D7%95%D7%9D-%D7%A9%D7%9C%D7%95%D7%9E%D7%99/","/media/gv3clnul/רום-שלומי.jpeg?rxy=0.40273217373206965,0.30206529425644879&width=157&height=211"
"1753822412-18","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","סרן
                        איתי מאור
                        ז""ל","סרן","חטיבת גולני","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סרן
                        איתי מאור
                        ז""ל
                    
                        
                            חטיבת גולני
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%99%D7%AA%D7%99-%D7%9E%D7%90%D7%95%D7%A8/","/media/s34crgct/איתי-מאור-מליחי.jpeg?rxy=0.56010922291239751,0.23508442684977487&width=157&height=211"
"1753822412-19","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","סרן
                        תומר שוהם
                        ז""ל","סרן","חטיבת הנח""ל","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סרן
                        תומר שוהם
                        ז""ל
                    
                        
                            חטיבת הנח""ל
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%AA%D7%95%D7%9E%D7%A8-%D7%A9%D7%95%D7%94%D7%9D/","/media/xgfj4and/תומר-שוהם.jpeg?rxy=0.47618624228626921,0.27406411275562381&width=157&height=211"
"1753822412-20","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=86","רס""ן
                        עידו יהושע
                        ז""ל","רס""ן","יחידת שלדג","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","רס""ן
                        עידו יהושע
                        ז""ל
                    
                        
                            יחידת שלדג
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%A2%D7%99%D7%93%D7%95-%D7%99%D7%94%D7%95%D7%A9%D7%A2/","/media/2j3jnxgb/עידו-יהושע.jpeg?rxy=0.64043709176485653,0.33114765168544896&width=157&height=211"
"1753822414-21","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=85","סמל
                        עמית צור
                        ז""ל","סמל","חטיבת גולני","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמל
                        עמית צור
                        ז""ל
                    
                        
                            חטיבת גולני
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%A2%D7%9E%D7%99%D7%AA-%D7%A6%D7%95%D7%A8/","/media/xe2fwk0d/צור-עמית.jpeg?rxy=0.55261704636601727,0.42884413432199947&width=157&height=211"
"1753822414-22","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=85","סמל
                        אדיר טהר
                        ז""ל","סמל","חטיבת גולני","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמל
                        אדיר טהר
                        ז""ל
                    
                        
                            חטיבת גולני
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%93%D7%99%D7%A8-%D7%98%D7%94%D7%A8/","/media/dhmdbs5x/אדיר-טהר.jpeg?rxy=0.522095645235065,0.28392746397975893&width=157&height=211"
"1753822414-23","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=85","רב""ט
                        ליאור לוי
                        ז""ל","רב""ט","פיקוד העורף","נפלה בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","רב""ט
                        ליאור לוי
                        ז""ל
                    
                        
                            פיקוד העורף
                        

                        נפלה בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרה ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%9C%D7%99%D7%90%D7%95%D7%A8-%D7%9C%D7%95%D7%99/","/media/uaycdknr/ליאור-לוי.jpeg?rxy=0.60648677183086286,0.53830626294733619&width=157&height=211"
"1753822414-24","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=85","רס""ן
                        אריאל בן משה
                        ז""ל","רס""ן","סיירת מטכ""ל","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","רס""ן
                        אריאל בן משה
                        ז""ל
                    
                        
                            סיירת מטכ""ל
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%A8%D7%99%D7%90%D7%9C-%D7%91%D7%9F-%D7%9E%D7%A9%D7%94/","/media/pp2byuiz/אריאל-בן-משה.jpeg?rxy=0.73807840165829808,0.1720920205116272&width=157&height=211"
"1753822414-25","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=85","סמל
                        עמית גואטה
                        ז""ל","סמל","עוצבת הקומנדו","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמל
                        עמית גואטה
                        ז""ל
                    
                        
                            עוצבת הקומנדו
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%A2%D7%9E%D7%99%D7%AA-%D7%92%D7%95%D7%90%D7%98%D7%94/","/media/n01bj5mp/עמית-גואטה.jpeg?rxy=0.31699158915841874,0.40315905807048985&width=157&height=211"
"1753822414-26","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/?page=85","סמ""ר
                        אור מזרחי
                        ז""ל","סמ""ר","חטיבת הנח""ל","נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)","סמ""ר
                        אור מזרחי
                        ז""ל
                    
                        
                            חטיבת הנח""ל
                        

                        נפל בכ""ב בתשרי התשפ""ד (07 באוקטובר 2023)
                    
                        
                            יהי זכרו ברוך
                        
                        לעמוד האישי","https://www.idf.il/%D7%A0%D7%95%D7%A4%D7%9C%D7%99%D7%9D/%D7%97%D7%9C%D7%9C%D7%99-%D7%94%D7%9E%D7%9C%D7%97%D7%9E%D7%94/%D7%90%D7%95%D7%A8-%D7%9E%D7%96%D7%A8%D7%97%D7%99/","/media/fmkbyae5/אור-מזרחי.jpeg?rxy=0.72866918168318817,0.085963464000194861&width=157&height=211"
